date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:21	132/132	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Jan%202023%2016:20:44%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-content/plugins/woocommerce/assets/js/frontend/lost-password.min.js	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-content/plugins/woocommerce/assets/js/frontend/lost-password.min.js	(from https://www.portotheme.com/wordpress/porto/shop1/my-account/lost-password/)
14:08:22	8712/8712	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/category/fashion/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/category/fashion/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/category/fashion/)
14:08:22	739/739	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20May%202023%2020:08:24%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/111	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/111.json	(from https://www.portotheme.com/wordpress/porto/shop1/category/fashion/)
14:08:23	4053/4053	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/category/articles/news/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/category/articles/news/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/category/articles/news/)
14:08:24	861/861	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20May%202023%2020:08:25%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/22	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/22.json	(from https://www.portotheme.com/wordpress/porto/shop1/category/articles/news/)
14:08:25	733/733	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20May%202023%2020:08:26%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/112	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/112.json	(from https://www.portotheme.com/wordpress/porto/shop1/category/model/)
14:08:25	5815/5815	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/category/model/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/category/model/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/category/model/)
14:08:26	727/727	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20May%202023%2020:08:27%20GMT	https://www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/114	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/wp-json/wp/v2/categories/114.json	(from https://www.portotheme.com/wordpress/porto/shop1/category/bag/)
14:08:26	4020/4020	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2009%20May%202023%2003:05:06%20GMT	https://www.portotheme.com/wordpress/porto/shop1/category/bag/feed/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/category/bag/feed/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/category/bag/)
14:08:27	125872/125872	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2020:08:28%20GMT	https://www.portotheme.com/wordpress/porto/shop1/2018/02/26/post-format-heading-phasellus-volutpat-loremeget-mauris-ultricesnon-scelerisque-tellus-volutpat/	C:/My%20Web%20Sites/yyy/www.portotheme.com/wordpress/porto/shop1/2018/02/26/post-format-heading-phasellus-volutpat-loremeget-mauris-ultricesnon-scelerisque-tellus-volutpat/index.html	(from https://www.portotheme.com/wordpress/porto/shop1/category/bag/)
